source_csv,mcp_side,start_frame,stop_frame,frame,dist_to_pellet_px,mcp_speed,cos_theta_to_pellet,segment_slope_dist_px_per_frame
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,461,419.1166421706294,6.412031950295767,0.9866208360462072,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,462,413.4294953703125,7.855443083800863,0.9760344780195649,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,463,403.8259669620303,10.416808069511141,0.9637523874869444,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,464,393.60053550082415,12.085998289533952,0.9608414641575009,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,465,381.297267065249,14.85680862061016,0.9018145756132213,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,466,366.80950639183817,16.86338430494233,0.9380294711548456,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,467,349.18452919190486,16.767603618307234,0.9577208939479968,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,468,334.37377959360697,16.585369975741106,0.9061232174700162,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,469,318.9469538593865,16.958413337903917,0.915778581694646,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,470,303.2972320417391,14.62095974327908,0.9080051926856807,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,471,292.41915553077945,14.56495701650008,0.8604048791834956,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,472,278.02813511132535,16.29890041561708,0.8028206955675987,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,473,266.77740007484283,17.11064351231586,0.7919030539765127,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,474,252.6723883178345,16.411303545986737,0.7685690898845794,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,475,243.19770736696992,14.912686800386611,0.5935279777078658,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,476,236.25362158247,13.692825976791804,0.4984980312430618,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,477,230.76550046653,11.317145096547963,0.5292642092943192,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,478,224.67120663006085,10.865443038111085,0.6564837147294414,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,479,217.05856429691312,9.067687721908484,0.7566027593039797,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,480,210.72979861096212,6.675897727899375,0.6970277453152055,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,481,206.58782504020692,6.328909373477594,0.7243750459032405,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,482,200.40536371599939,6.180312526025202,0.9085937771208021,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,483,193.84759817837678,5.816294285540098,0.9170998030852254,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,484,189.48293773067965,4.711160395241698,0.8655394397190456,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,485,186.37593350166534,3.389033916499541,0.8581794234572248,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,486,183.1964979618719,2.460446374758685,0.9517574862865891,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,487,178.64859621153204,1.2321184858155276,0.8491846092318999,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,488,181.2901816241116,0.8308195764654588,0.10814225669440651,-6.838924845761278
Cohort_5A_cam4_rat3_2025-11-26_11_42_02DLC_resnet50_josh_lrnDec5shuffle1_250000.csv,left_mcp,435,489,489,181.9725630601836,0.5340990261917976,-0.45341170620743765,-6.838924845761278
