marker_id,cam,u_meas,v_meas,u_proj,v_proj,err_px
6,1,67.213799,269.586569,69.71922275012498,258.6145835067146,11.254404197137909
6,2,1818.841259,344.38372,1818.6782583410472,342.5580280006388,1.8329540341619404
6,3,1223.447397,371.371218,1166.4242870263101,416.1095553741834,72.47864445529989
6,5,144.889272,426.895372,158.63287938887694,424.473989691096,13.955279873419455
7,1,134.962937,346.74531,133.9737550899086,341.5669456333629,5.271995671935759
7,2,1745.446359,375.749062,1747.3972519581762,376.55596829806177,2.1111800274048376
7,3,1163.597678,413.74928,1145.6081556949616,443.24216820535,34.546394420499965
7,5,164.963091,477.916328,172.79878332142667,477.85463102311627,7.835935213682001
8,1,214.003599,423.276744,212.60611500619427,421.7894806909043,2.040812010824482
8,2,1672.051459,403.97787,1673.3034076163901,406.77670286143695,3.0660790473078885
8,3,1107.465333,454.268655,1120.7121132205043,474.2227739754522,23.950867422639238
8,5,196.746637,530.610103,201.64398953755014,531.8904745197032,5.061957438137534
9,1,301.826556,501.062792,301.75240118285916,505.4696605200866,4.407492381188606
9,2,1599.283866,428.442836,1599.201091320693,432.30967368862844,3.8677235368795024
9,4,1973.522819,494.534341,1975.0578110477245,482.7147367989301,11.918860853979535
9,5,234.385047,583.722082,237.31984236215158,589.9216263265273,6.859108810500337
10,1,390.276821,581.358067,389.09384845522254,580.9387297181107,1.2550967284155872
10,2,1535.298568,449.771269,1534.8011752979671,448.8822345570827,1.0187157310696582
10,5,272.859867,641.016106,273.77992534663076,643.0383613411034,2.22171645936783
11,1,426.660617,470.952064,426.7335667270461,475.0425391363544,4.091125579080824
11,2,1479.489828,545.7262,1482.286083615013,553.8123459337262,8.555980453811785
11,3,969.550762,389.58635,1026.8551904604337,383.12394322958806,57.66767051341018
11,4,1995.608819,586.738281,1992.1979334429866,579.3957472646324,8.096106591322433
11,5,447.669372,610.905378,452.2468537737911,615.9914353985376,6.842610558157509
12,1,514.483575,450.250938,514.7729714966881,453.8961295412032,3.6566612783186048
12,2,1404.213008,477.698258,1405.1750647556503,481.41551665947804,3.839735035462328
12,3,1043.154765,436.425261,1067.3209915768846,430.2939567610359,24.931895207465917
12,4,1852.827073,514.369451,1852.882440081825,507.24971565135195,7.119950628237445
12,5,493.630906,569.302921,495.7515466619457,572.876473967724,4.155405832193394
13,1,601.679225,428.922506,602.920854714538,430.83490192189146,2.2801101969183097
13,2,1337.857884,415.246378,1337.4394333517491,416.1649420705905,1.009386396184017
13,3,1114.156605,476.572898,1114.6730755829851,483.115259356422,6.562715442642057
13,4,1727.648556,446.564421,1730.4048742634393,441.58100881183924,5.694882563010189
13,5,538.61113,523.579223,540.1029942017315,526.7619959453272,3.515067910853876
14,1,702.675626,403.202925,702.4670585680266,404.732628506108,1.5438565964101125
14,2,1272.060367,355.582527,1268.5209835507487,355.561067808603,3.5394485019179993
14,3,1182.556284,513.3749,1172.301594560956,544.3347342834502,32.61395398215216
14,4,1605.40391,383.323191,1610.6713806270518,379.60959471946353,6.444923905033164
14,5,593.256525,473.394676,595.4780553449406,475.66537607745306,3.176676866670113
15,1,788.179025,373.080143,788.7765878793399,373.37710603052614,0.6672843743594007
15,2,1222.433426,298.149101,1217.0259649463687,297.80183649415636,5.418600159040929
15,3,1245.008165,548.689951,1240.2425611310869,608.7723933118396,60.271144458944306
15,4,1508.204283,321.193418,1517.0206503018924,319.5914032387649,8.96073566718111
15,5,636.378062,416.890593,639.2382775676784,418.7201163152808,3.3952891857316096
16,1,828.326663,293.528343,829.4481077094166,294.5735572562014,1.5330072007805533
16,2,1079.68627,373.983528,1082.7406920209226,371.26024394469266,4.092159567732929
16,3,1283.668853,389.58635,1253.751241419489,309.8584075237769,85.15637553450863
16,4,1527.482603,337.616023,1521.4154196418187,335.69847648882654,6.362994462067693
16,5,818.911618,411.953206,814.6996648198048,413.1433129937233,4.376860090140623
17,1,913.826261,355.236749,915.1394102688427,356.52378753520486,1.8387031281216153
17,2,1030.059329,398.518195,1032.9757694157483,396.27927889476575,3.676733608094013
17,3,1213.782225,442.744796,1231.453285900518,340.3984644855308,103.86066612447398
17,4,1403.207072,386.17747,1399.408955770458,386.805335961139,3.8496626551252713
17,5,881.473644,455.717252,878.8447749212944,456.94492956682717,2.901403943105019
18,1,999.949403,422.543368,1000.9965788481063,422.57293563585625,1.0475931948745085
18,2,991.026904,420.264832,990.6926203519996,419.32219091960536,1.0001588692642824
18,3,1133.48695,497.390192,1117.8447822189944,508.3737430016125,19.113236395078474
18,4,1286.241867,433.694585,1288.0839630431176,435.49360279996677,2.5748364757139135
18,5,943.74195,507.117977,944.2132909696854,505.9859779175452,1.2262072550684608
19,1,1095.609824,489.951747,1097.4064264916042,490.86893364651297,2.017179183260731
19,2,949.206448,437.550621,948.6850228480567,436.71039082268516,0.9888735712666037
19,4,1172.931824,475.990038,1176.7499615228287,477.0501630588828,3.9625798772647602
19,5,1018.052713,558.224984,1020.260820234637,557.171896760475,2.446370841411079
20,1,1192.261544,556.864476,1194.8352637127368,558.2011599498543,2.9001305387048566
20,2,910.731628,453.721197,909.6460510724419,452.28494239645255,1.800362339046734
20,4,1068.075571,512.730141,1075.5753593502075,514.032033240426,7.611947760172019
20,5,1096.475533,611.681738,1103.0012851703523,610.8890334952117,6.5737220675024375
21,1,1132.783563,463.186655,1134.8881157486653,462.651301257815,2.1715768236897204
21,2,792.051934,542.456097,797.3927436457074,541.0600908105341,5.520242834577859
21,3,1328.649077,621.178741,1343.0342190343367,696.7042832151384,76.88328711910476
21,4,1078.567231,565.704701,1071.3942084242972,571.3986474882527,9.15823560969181
21,5,1170.193669,587.123787,1168.3544108676012,583.5456376239059,4.023185732132855
22,1,1228.939633,442.369362,1228.5629544557842,439.9037423835864,2.4942266974988803
22,2,744.469549,481.986816,747.1452675698126,481.6936471328016,2.691731385100377
22,3,1249.469014,577.685467,1210.6357535380043,569.209801341076,39.74744050213877
22,4,966.366791,492.86253,962.6334041619355,500.34814836136906,8.364966200451708
