cam1_X,cam1_Y
NaN,NaN
NaN,NaN
NaN,NaN
1971.276821,311.763764
1874.044261,259.697297
1818.841259,344.383720
1745.446359,375.749062
1672.051459,403.977870
1599.283866,428.442836
1535.298568,449.771269
1479.489828,545.726200
1404.213008,477.698258
1337.857884,415.246378
1272.060367,355.582527
1222.433426,298.149101
1079.686270,373.983528
1030.059329,398.518195
991.026904,420.264832
949.206448,437.550621
910.731628,453.721197
792.051934,542.456097
744.469549,481.986816
700.852362,422.508834
655.252576,368.483001
619.070138,317.926716
