cam1_X,cam1_Y
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
144.889272,426.895372
164.963091,477.916328
196.746637,530.610103
234.385047,583.722082
272.859867,641.016106
447.669372,610.905378
493.630906,569.302921
538.611130,523.579223
593.256525,473.394676
636.378062,416.890593
818.911618,411.953206
881.473644,455.717252
943.741950,507.117977
1018.052713,558.224984
1096.475533,611.681738
1170.193669,587.123787
1245.385586,541.327887
1329.241593,489.652783
1423.618280,437.358815
1520.160989,379.804508
